City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kudahuvadhoo,MV,82.71,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
2,Sao Miguel Do Araguaia,BR,71.85,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
5,Coahuayana,MX,75.09,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
6,Rancho Palos Verdes,US,61.99,broken clouds,33.7445,-118.387,Terranea Resort
8,San Patricio,US,76.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Katsuura,JP,75.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
11,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Busselton,AU,66.04,broken clouds,-33.65,115.3333,Observatory Guest House
15,Hobart,AU,78.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
20,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
22,Atuona,PF,78.06,light rain,-9.8,-139.0333,Villa Enata
23,Burnie,AU,64.92,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
24,Bowen,AU,80.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
26,Hilo,US,76.73,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
27,Arraial Do Cabo,BR,70.45,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Ceyhan,TR,66.04,overcast clouds,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
31,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
32,Lorengau,PG,86.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Saint-Philippe,RE,80.47,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
44,Rikitea,PF,72.5,broken clouds,-23.1203,-134.9692,People ThankYou
47,Valente,BR,71.91,overcast clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
50,Galesong,ID,89.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
53,Carutapera,BR,75.9,scattered clouds,-1.195,-46.02,Lidera
55,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
57,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
60,Sumenep,ID,87.55,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
62,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
66,Ginir,ET,62.56,light rain,7.1333,40.7,Sura Dare Village
71,Gladstone,AU,79.79,overcast clouds,-23.85,151.25,Highpoint International
75,Benjamin Hill,MX,64.62,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
83,Huilong,CN,67.98,light rain,31.8111,121.655,Hilton Garden Inn Qidong
90,Caravelas,BR,74.12,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
93,Sijunjung,ID,88.32,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
98,Saint George,US,65.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
101,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Kismayo,SO,81.46,broken clouds,-0.3582,42.5454,Agan-Hotel
104,Chuy,UY,63.95,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
107,Karratha,AU,83.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
108,Meulaboh,ID,85.08,overcast clouds,4.1363,96.1285,Kost Pria
113,Airai,TL,75.9,broken clouds,-8.9266,125.4092,Juvinal Martin
114,Puerto Ayora,EC,68.18,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Denpasar,ID,87.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
116,Alugan,PH,80.89,moderate rain,12.2188,125.4808,JM Lodge
117,Richards Bay,ZA,68.47,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
119,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
123,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
125,Esperance,AU,64.24,broken clouds,-33.8667,121.9,Hospitality Esperance
128,Orange,US,63.61,clear sky,33.7,-117.7675,Meadows
131,Daru,PG,81.03,overcast clouds,-9.0763,143.2092,Daru Lodge
135,Takoradi,GH,76.06,light rain,4.8845,-1.7554,Raybow International Hotel
136,Victoria,HK,83.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
139,Garowe,SO,75.13,few clouds,8.4054,48.4845,Curubo Hotel
141,Narrabri,AU,80.69,overcast clouds,-30.3167,149.7833,Crossroads Hotel
142,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
143,Port Alfred,ZA,62.35,broken clouds,-33.5906,26.891,The Halyards Hotel
145,Selma,US,66.25,broken clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
147,New Norfolk,AU,77.67,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
149,Bardiyah,LY,67.84,broken clouds,31.7561,25.0865,بورتو بردية
150,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
