City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Kudahuvadhoo,MV,2.6708,72.8944,82.71,76,73,16.62,broken clouds,0.0,0.0
1,Bluff,NZ,-46.6,168.3333,51.8,56,83,13.47,broken clouds,0.0,0.0
2,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.85,95,98,3.53,overcast clouds,0.0,0.0
3,Wuwei,CN,37.9281,102.6414,51.4,26,2,6.22,clear sky,0.0,0.0
4,Hermanus,ZA,-34.4187,19.2345,53.91,66,82,8.61,broken clouds,0.0,0.0
5,Coahuayana,MX,18.7333,-103.6833,75.09,84,10,3.27,clear sky,0.0,0.0
6,Rancho Palos Verdes,US,33.7445,-118.387,61.99,92,62,3.0,broken clouds,0.0,0.0
7,Thompson,CA,55.7435,-97.8558,26.76,93,75,4.61,light shower snow,0.0,0.0
8,San Patricio,US,28.017,-97.5169,76.84,72,0,6.6,clear sky,0.0,0.0
9,Redcar,GB,54.6166,-1.06,44.37,83,65,4.0,broken clouds,0.0,0.0
10,Katsuura,JP,35.1333,140.3,75.11,66,51,7.25,broken clouds,0.0,0.0
11,Kapaa,US,22.0752,-159.319,78.78,83,90,3.44,overcast clouds,0.0,0.0
12,Ushuaia,AR,-54.8,-68.3,46.06,76,0,9.22,clear sky,0.0,0.0
13,Chernyshevskiy,RU,63.0128,112.4714,12.83,85,100,12.97,overcast clouds,0.0,0.0
14,Busselton,AU,-33.65,115.3333,66.04,60,53,16.46,broken clouds,0.0,0.0
15,Hobart,AU,-42.8794,147.3294,78.03,42,75,7.0,broken clouds,0.0,0.0
16,Talnakh,RU,69.4865,88.3972,0.3,92,100,11.18,overcast clouds,0.0,0.0
17,Mar Del Plata,AR,-38.0023,-57.5575,59.09,94,90,1.99,moderate rain,3.47,0.0
18,Campbeltown,GB,55.4258,-5.6076,48.25,79,94,11.45,overcast clouds,0.0,0.0
19,Makubetsu,JP,45.3714,141.8211,47.91,76,75,17.27,broken clouds,0.0,0.0
20,Alofi,NU,-19.0595,-169.9187,80.49,65,15,10.36,few clouds,0.0,0.0
21,Nikolskoye,RU,59.7035,30.7861,38.88,87,4,6.69,clear sky,0.0,0.0
22,Atuona,PF,-9.8,-139.0333,78.06,75,49,10.94,light rain,0.13,0.0
23,Burnie,AU,-41.0667,145.9167,64.92,79,67,12.19,broken clouds,0.0,0.0
24,Bowen,AU,-20.0167,148.2333,80.82,61,17,20.94,few clouds,0.0,0.0
25,Mataura,NZ,-46.1927,168.8643,51.48,74,96,6.33,overcast clouds,0.0,0.0
26,Hilo,US,19.7297,-155.09,76.73,74,1,0.0,clear sky,0.0,0.0
27,Arraial Do Cabo,BR,-22.9661,-42.0278,70.45,90,99,11.52,overcast clouds,0.0,0.0
28,Constitucion,CL,-35.3333,-72.4167,50.54,77,9,7.76,clear sky,0.0,0.0
29,Sangar,RU,63.9242,127.4739,17.67,93,100,16.89,snow,0.0,0.93
30,Ceyhan,TR,37.0247,35.8175,66.04,93,100,7.09,overcast clouds,0.0,0.0
31,Vaini,TO,-21.2,-175.2,78.96,94,75,11.5,broken clouds,0.0,0.0
32,Lorengau,PG,-2.0226,147.2712,86.05,63,100,7.07,overcast clouds,0.0,0.0
33,Dikson,RU,73.5069,80.5464,4.66,94,12,6.8,few clouds,0.0,0.0
34,Tiznit,MA,29.5833,-9.5,59.9,55,0,1.21,clear sky,0.0,0.0
35,Saint-Philippe,RE,-21.3585,55.7679,80.47,76,43,9.91,scattered clouds,0.0,0.0
36,Norman Wells,CA,65.282,-126.8329,12.24,92,20,3.44,few clouds,0.0,0.0
37,Lazarev,RU,52.225,141.5131,38.77,51,17,5.21,few clouds,0.0,0.0
38,Ancud,CL,-41.8697,-73.8203,51.33,89,100,15.82,overcast clouds,0.0,0.0
39,Hami,CN,42.8,93.45,52.61,38,77,1.95,broken clouds,0.0,0.0
40,Hasaki,JP,35.7333,140.8333,68.4,78,91,14.45,overcast clouds,0.0,0.0
41,Mangai,CD,-4.05,19.5333,68.47,99,100,3.6,light rain,0.13,0.0
42,Albany,US,42.6001,-73.9662,41.31,78,100,5.53,overcast clouds,0.0,0.0
43,Klaksvik,FO,62.2266,-6.589,43.72,84,99,21.25,overcast clouds,0.0,0.0
44,Rikitea,PF,-23.1203,-134.9692,72.5,76,74,13.87,broken clouds,0.0,0.0
45,Gaspe,CA,48.8334,-64.4819,42.71,70,1,11.5,clear sky,0.0,0.0
46,Kidal,ML,18.4411,1.4078,78.01,18,28,8.57,scattered clouds,0.0,0.0
47,Valente,BR,-11.4122,-39.4619,71.91,85,96,7.34,overcast clouds,0.0,0.0
48,Torbay,CA,47.6666,-52.7314,52.75,98,90,8.05,light rain,0.25,0.0
49,Kodiak,US,57.79,-152.4072,34.9,74,81,12.17,broken clouds,0.0,0.0
50,Galesong,ID,-5.3166,119.3661,89.62,61,54,8.55,broken clouds,0.0,0.0
51,Halifax,CA,44.6453,-63.5724,46.4,79,0,1.99,clear sky,0.0,0.0
52,Mayo,US,38.8876,-76.5119,49.95,78,1,0.0,clear sky,0.0,0.0
53,Carutapera,BR,-1.195,-46.02,75.9,92,36,4.81,scattered clouds,0.0,0.0
54,Khatanga,RU,71.9667,102.5,0.55,98,100,2.89,overcast clouds,0.0,0.0
55,Souillac,MU,-20.5167,57.5167,78.37,69,40,12.66,scattered clouds,0.0,0.0
56,Severo-Kurilsk,RU,50.6789,156.125,37.27,60,89,15.05,overcast clouds,0.0,0.0
57,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,6.91,scattered clouds,0.0,0.0
58,Punta Arenas,CL,-53.15,-70.9167,48.31,81,0,5.75,clear sky,0.0,0.0
59,Saskylakh,RU,71.9167,114.0833,-14.76,100,98,3.62,overcast clouds,0.0,0.0
60,Sumenep,ID,-7.0167,113.8667,87.55,61,89,3.98,overcast clouds,0.0,0.0
61,Pevek,RU,69.7008,170.3133,3.79,95,100,10.4,light snow,0.0,0.25
62,Georgetown,MY,5.4112,100.3354,85.89,75,20,1.99,few clouds,0.0,0.0
63,Danville,US,36.586,-79.395,50.58,91,1,0.0,clear sky,0.0,0.0
64,Yerbogachen,RU,61.2767,108.0108,15.93,68,59,10.69,broken clouds,0.0,0.0
65,Barrow,US,71.2906,-156.7887,8.62,85,20,11.5,few clouds,0.0,0.0
66,Ginir,ET,7.1333,40.7,62.56,71,100,2.04,light rain,0.15,0.0
67,Longyearbyen,SJ,78.2186,15.6401,15.64,62,20,12.66,few clouds,0.0,0.0
68,Northam,GB,51.0333,-4.2167,45.3,79,97,8.19,overcast clouds,0.0,0.0
69,Fairbanks,US,64.8378,-147.7164,30.6,86,90,3.44,mist,0.0,0.48
70,Beringovskiy,RU,63.05,179.3167,-3.73,92,18,13.82,few clouds,0.0,0.0
71,Gladstone,AU,-23.85,151.25,79.79,50,90,19.57,overcast clouds,0.0,0.0
72,Ahipara,NZ,-35.1667,173.1667,59.92,72,19,18.1,few clouds,0.0,0.0
73,East London,ZA,-33.0153,27.9116,59.94,58,0,9.22,clear sky,0.0,0.0
74,Sterling,US,39.0062,-77.4286,48.0,87,1,0.0,clear sky,0.0,0.0
75,Benjamin Hill,MX,30.1667,-111.1,64.62,35,87,0.6,overcast clouds,0.0,0.0
76,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,3.44,broken clouds,0.0,0.0
77,Chokurdakh,RU,70.6333,147.9167,-2.07,98,73,9.86,broken clouds,0.0,0.0
78,Yellowknife,CA,62.456,-114.3525,31.41,100,75,6.91,broken clouds,0.0,0.0
79,Gryfice,PL,53.9165,15.2003,49.03,96,100,7.54,overcast clouds,0.0,0.0
80,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,9.22,overcast clouds,0.0,0.0
81,Lebu,CL,-37.6167,-73.65,48.09,89,4,4.32,clear sky,0.0,0.0
82,Vagur,FO,61.4732,-6.8119,45.52,80,100,23.55,overcast clouds,0.0,0.0
83,Huilong,CN,31.8111,121.655,67.98,52,33,9.44,light rain,0.22,0.0
84,Urumqi,CN,43.801,87.6005,50.95,37,0,15.66,clear sky,0.0,0.0
85,Husavik,IS,66.0449,-17.3389,31.91,93,100,20.31,light snow,0.0,0.5
86,Kajaani,FI,64.2273,27.7285,44.65,87,75,6.91,broken clouds,0.0,0.0
87,Coihaique,CL,-45.5752,-72.0662,49.95,66,75,2.3,broken clouds,0.0,0.0
88,Atasu,KZ,48.6814,71.6433,41.86,69,99,18.61,overcast clouds,0.0,0.0
89,Taoudenni,ML,22.6783,-3.9836,77.59,21,96,10.0,overcast clouds,0.0,0.0
90,Caravelas,BR,-17.7125,-39.2481,74.12,93,100,10.67,moderate rain,2.9,0.0
91,Paciran,ID,-6.8767,112.3761,90.59,55,85,3.44,overcast clouds,0.0,0.0
92,Kaitangata,NZ,-46.2817,169.8464,48.61,67,86,11.83,overcast clouds,0.0,0.0
93,Sijunjung,ID,-0.6876,100.9537,88.32,59,89,1.86,overcast clouds,0.0,0.0
94,Bredasdorp,ZA,-34.5322,20.0403,54.72,82,74,5.75,broken clouds,0.0,0.0
95,Gravdal,NO,68.1214,13.5031,51.69,62,75,8.05,broken clouds,0.0,0.0
96,Katobu,ID,-4.9408,122.5276,91.76,49,95,2.77,overcast clouds,0.0,0.0
97,Broome,US,42.2506,-75.833,43.0,68,90,3.44,overcast clouds,0.0,0.0
98,Saint George,US,37.1041,-113.5841,65.53,46,1,1.99,clear sky,0.0,0.0
99,Matagami,CA,49.7502,-77.6328,30.31,100,90,12.66,light snow,0.0,0.0
100,Griffith,US,41.5284,-87.4237,41.05,74,90,3.44,overcast clouds,0.0,0.0
101,Mahebourg,MU,-20.4081,57.7,78.26,69,40,12.66,scattered clouds,0.0,0.0
102,Kismayo,SO,-0.3582,42.5454,81.46,75,73,12.86,broken clouds,0.0,0.0
103,Tiksi,RU,71.6872,128.8694,-0.62,97,97,5.68,overcast clouds,0.0,0.0
104,Chuy,UY,-33.6971,-53.4616,63.95,96,98,8.48,overcast clouds,0.0,0.0
105,Newport,GB,51.5877,-2.9984,44.71,93,19,2.06,few clouds,0.0,0.0
106,Tucumcari,US,35.1717,-103.725,51.64,58,1,11.5,clear sky,0.0,0.0
107,Karratha,AU,-20.7377,116.8463,83.39,35,0,17.98,clear sky,0.0,0.0
108,Meulaboh,ID,4.1363,96.1285,85.08,68,92,5.08,overcast clouds,0.0,0.0
109,Nanortalik,GL,60.1432,-45.2371,38.55,83,100,14.34,overcast clouds,0.0,0.0
110,Svetlyy,RU,54.675,20.1347,39.25,78,1,13.53,clear sky,0.0,0.0
111,Veinticinco De Mayo,AR,-35.4323,-60.1727,57.06,99,100,3.0,overcast clouds,0.0,0.0
