City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,60.91,51,90,20.71,CL,2021-10-28 21:40:03
1,Provideniya,64.3833,-173.3,15.91,67,90,8.95,RU,2021-10-28 21:40:04
2,Yar-Sale,66.8333,70.8333,22.75,96,100,12.24,RU,2021-10-28 21:37:48
3,Ushuaia,-54.8,-68.3,60.46,36,20,13.8,AR,2021-10-28 21:36:21
4,Vardo,70.3705,31.1107,32.2,93,100,25.55,NO,2021-10-28 21:36:51
5,Saint George,37.1041,-113.5841,77.47,31,1,4.0,US,2021-10-28 21:37:00
6,Timra,62.487,17.3257,37.11,100,90,3.44,SE,2021-10-28 21:40:06
7,New Norfolk,-42.7826,147.0587,47.7,79,100,5.01,AU,2021-10-28 21:40:07
8,Dekernes,31.0876,31.595,76.89,80,55,6.24,EG,2021-10-28 21:40:07
9,Palu,-0.8917,119.8707,74.91,94,97,3.0,ID,2021-10-28 21:40:08
10,Kupang,-10.1667,123.5833,80.94,80,95,5.01,ID,2021-10-28 21:40:09
11,Asfi,32.2994,-9.2372,66.15,89,7,9.73,MA,2021-10-28 21:40:09
12,Puerto Ayora,-0.7393,-90.3518,78.76,90,35,5.01,EC,2021-10-28 21:40:10
13,Argir,61.9959,-6.7715,49.17,89,33,21.18,FO,2021-10-28 21:40:10
14,Tucupita,9.0622,-62.051,76.15,89,99,4.03,VE,2021-10-28 21:40:11
15,Victoria,22.2855,114.1577,77.38,87,83,1.01,HK,2021-10-28 21:37:49
16,Busselton,-33.65,115.3333,47.1,80,60,7.65,AU,2021-10-28 21:40:11
17,Birao,10.2849,22.7882,78.37,35,57,2.86,CF,2021-10-28 21:40:12
18,Mar Del Plata,-38.0023,-57.5575,75.22,82,0,15.01,AR,2021-10-28 21:39:11
19,Richland,40.7834,-82.5499,62.62,70,1,10.36,US,2021-10-28 21:40:12
20,Port Lincoln,-34.7333,135.8667,55.47,70,59,17.43,AU,2021-10-28 21:40:13
21,San Julian,21.0167,-102.1667,79.2,22,100,3.44,MX,2021-10-28 21:40:13
22,Rikitea,-23.1203,-134.9692,75.42,81,86,18.61,PF,2021-10-28 21:40:14
23,Hithadhoo,-0.6,73.0833,82.89,75,100,12.95,MV,2021-10-28 21:40:14
24,Polunochnoye,60.8697,60.4153,21.09,63,35,16.67,RU,2021-10-28 21:40:14
25,Bermejo,-32.8833,-68.8,96.71,19,20,11.5,AR,2021-10-28 21:40:15
26,Cape Town,-33.9258,18.4232,63.09,73,75,1.99,ZA,2021-10-28 21:36:04
27,Sakakah,29.9697,40.2064,69.37,28,79,5.93,SA,2021-10-28 21:40:16
28,Kruisfontein,-34.0033,24.7314,67.89,77,100,14.25,ZA,2021-10-28 21:40:16
29,Albany,42.6001,-73.9662,54.01,79,0,1.79,US,2021-10-28 21:40:16
30,Jamestown,42.097,-79.2353,60.3,79,100,9.82,US,2021-10-28 21:37:26
31,Matagami,49.7502,-77.6328,53.71,43,1,4.61,CA,2021-10-28 21:40:17
32,Qaanaaq,77.484,-69.3632,21.0,89,100,6.85,GL,2021-10-28 21:38:04
33,Teya,60.3778,92.6267,26.58,84,100,8.84,RU,2021-10-28 21:40:18
34,Carnarvon,-24.8667,113.6333,62.67,59,0,18.41,AU,2021-10-28 21:40:18
35,Port Elizabeth,-33.918,25.5701,70.11,94,90,4.61,ZA,2021-10-28 21:40:19
36,Kavieng,-2.5744,150.7967,84.34,72,72,9.01,PG,2021-10-28 21:40:19
37,Changli,39.7042,119.1506,50.04,76,76,1.21,CN,2021-10-28 21:40:19
38,Shieli,44.1667,66.75,46.33,59,100,7.09,KZ,2021-10-28 21:40:20
39,The Valley,18.217,-63.0578,82.54,69,40,8.05,AI,2021-10-28 21:40:20
40,Vaini,-21.2,-175.2,78.96,78,75,9.22,TO,2021-10-28 21:40:21
41,Udachnyy,66.4167,112.4,6.37,93,100,18.68,RU,2021-10-28 21:40:21
42,Zaysan,47.4667,84.8667,44.28,82,90,2.15,KZ,2021-10-28 21:39:20
43,Tiksi,71.6872,128.8694,11.66,96,100,4.74,RU,2021-10-28 21:40:22
44,Cockburn Town,21.4612,-71.1419,82.74,68,2,5.64,TC,2021-10-28 21:40:22
45,East London,-33.0153,27.9116,66.56,96,100,9.8,ZA,2021-10-28 21:40:22
46,Kudat,6.8837,116.8477,75.29,100,20,0.0,MY,2021-10-28 21:41:23
47,Pevek,69.7008,170.3133,1.63,94,100,4.85,RU,2021-10-28 21:41:23
48,Grindavik,63.8424,-22.4338,41.47,87,90,13.8,IS,2021-10-28 21:41:24
49,Ruteng,-8.6136,120.4721,63.81,91,100,1.14,ID,2021-10-28 21:41:25
50,Ola,59.5833,151.2833,25.29,95,85,4.56,RU,2021-10-28 21:41:25
51,Arraial Do Cabo,-22.9661,-42.0278,73.36,94,75,14.97,BR,2021-10-28 21:40:32
52,Koping,59.514,15.9926,53.53,90,87,8.43,SE,2021-10-28 21:41:26
53,Yellowknife,62.456,-114.3525,36.41,99,90,5.75,CA,2021-10-28 21:40:58
54,Ville-Marie,47.3335,-79.433,53.6,66,26,5.55,CA,2021-10-28 21:41:26
55,Chapais,49.7834,-74.8492,51.58,56,0,5.44,CA,2021-10-28 21:41:27
56,Kapaa,22.0752,-159.319,82.38,89,75,5.01,US,2021-10-28 21:41:27
57,Hobart,-42.8794,147.3294,48.06,93,75,3.0,AU,2021-10-28 21:41:27
58,Samarai,-10.6167,150.6667,83.26,78,25,11.43,PG,2021-10-28 21:41:28
59,Kodiak,57.79,-152.4072,40.51,52,1,0.0,US,2021-10-28 21:41:22
60,Mitsamiouli,-11.3847,43.2844,78.87,75,9,2.51,KM,2021-10-28 21:41:29
61,Suhbaatar,50.2314,106.2078,32.41,69,100,7.54,MN,2021-10-28 21:41:30
62,Luwuk,-0.9516,122.7875,78.4,81,51,1.28,ID,2021-10-28 21:41:30
63,Mount Isa,-20.7333,139.5,73.17,94,87,4.61,AU,2021-10-28 21:39:13
64,San Quintin,30.4833,-115.95,75.79,37,0,6.69,MX,2021-10-28 21:41:31
65,Natal,-5.795,-35.2094,80.82,74,0,11.5,BR,2021-10-28 21:41:31
66,Ostrovnoy,68.0531,39.5131,28.15,76,100,16.82,RU,2021-10-28 21:41:31
67,Faanui,-16.4833,-151.75,78.55,79,34,8.34,PF,2021-10-28 21:39:22
68,La Asuncion,11.0333,-63.8628,78.85,84,75,10.09,VE,2021-10-28 21:41:32
69,Port Blair,11.6667,92.75,80.6,81,42,9.44,IN,2021-10-28 21:41:32
70,Veraval,20.9,70.3667,78.85,52,54,11.27,IN,2021-10-28 21:41:33
71,Port Alfred,-33.5906,26.891,66.94,96,100,6.22,ZA,2021-10-28 21:41:33
72,Henties Bay,-22.116,14.2845,60.85,90,11,7.38,NA,2021-10-28 21:41:34
73,Nuevo Progreso,23.1667,-97.95,88.59,22,34,8.01,MX,2021-10-28 21:41:34
74,Avarua,-21.2078,-159.775,75.25,69,11,11.5,CK,2021-10-28 21:41:35
75,Hasaki,35.7333,140.8333,54.0,54,93,27.47,JP,2021-10-28 21:41:35
76,Cayenne,4.9333,-52.3333,83.08,77,0,1.01,GF,2021-10-28 21:41:35
77,Moba,33.2288,105.0179,42.84,89,100,2.28,CN,2021-10-28 21:41:36
78,Imbituba,-28.24,-48.6703,71.49,80,67,5.03,BR,2021-10-28 21:41:36
79,Saldanha,-33.0117,17.9442,60.85,89,18,14.38,ZA,2021-10-28 21:41:37
80,Barrow,71.2906,-156.7887,21.22,86,90,12.66,US,2021-10-28 21:41:37
81,Bluff,-46.6,168.3333,57.72,82,49,7.18,NZ,2021-10-28 21:40:42
82,Ilulissat,69.2167,-51.1,26.62,63,75,12.66,GL,2021-10-28 21:41:38
83,Kropotkin,45.4375,40.5756,43.79,56,100,5.82,RU,2021-10-28 21:41:38
84,Longyearbyen,78.2186,15.6401,17.44,73,0,8.05,SJ,2021-10-28 21:40:46
85,Cherskiy,68.75,161.3,-14.53,93,89,3.69,RU,2021-10-28 21:41:39
86,Japura,-0.3167,102.35,74.16,98,99,2.24,ID,2021-10-28 21:41:40
87,Tarakan,3.3,117.6333,78.3,94,40,6.91,ID,2021-10-28 21:41:41
88,Alofi,-19.0595,-169.9187,80.49,65,75,12.66,NU,2021-10-28 21:41:41
